,Okres,Počet obyvateľov v okrese,Navrhovaný počet odberových miest pre okres,Kapacita testov za deň pre okres,Kapacita testov za týždeň pre okres,Obec,Navrhované odberové miesto,Počet obyvateľov,Navrhovaný počet odberových jednotiek pre obec,Kapacita testov za deň pre obec,Kapacita testov za týždeň pre obec
203,Zvolen,68410.0,13.0,3900.0,27300.0,,,,,,
204,,,,,,Sliač,"ZŠ A.S. - Sliač, Pionierska",5025.0,1.0,300.0,2100.0
205,,,,,,Zvolen,"SOŠ - Zvolen, Jabloňová",43100.0,12.0,3600.0,25200.0
206,Čadca,97409.0,20.0,6000.0,42000.0,,,,,,
207,,,,,,Krásno nad Kysucou,"ZŠ - Krásno n.K., Mládežnícka",6837.0,2.0,600.0,4200.0
208,,,,,,Oščadnica,"ZŠ - Oščadnica, Ústredie",5639.0,2.0,600.0,4200.0
209,,,,,,Raková,ZŠ - Raková,5395.0,2.0,600.0,4200.0
210,,,,,,Skalité,ZŠ - Skalité,5247.0,2.0,600.0,4200.0
211,,,,,,Turzovka,"ZŠ - Turzovka, Bukovina",7684.0,3.0,900.0,6300.0
212,,,,,,Čadca,"Gym. J. M. Hurbana - Čadca, 17.novembra",24739.0,9.0,2700.0,18900.0
213,Šaľa,52938.0,11.0,3300.0,23100.0,,,,,,
214,,,,,,Šaľa,"ZŠ s MŠ - Šaľa, Horná",23098.0,11.0,3300.0,23100.0
215,Žarnovica,28366.0,6.0,1800.0,12600.0,,,,,,
216,,,,,,Nová Baňa,"ZŠ J.Z. - Nová Baňa, Školská",7567.0,3.0,900.0,6300.0
217,,,,,,Žarnovica,"ZŠ - Žarnovica, Fraňa Kráľa",6431.0,3.0,900.0,6300.0
218,Žiar nad Hronom,53006.0,10.0,3000.0,21000.0,,,,,,
219,,,,,,Kremnica,"ZŠ - Kremnica, Angyalova ",5528.0,2.0,600.0,4200.0
220,,,,,,Žiar nad Hronom,"ZŠ - Žiar n.H.,  M.R.Štefánika",19647.0,8.0,2400.0,16800.0
221,Žilina,156819.0,31.0,9300.0,65100.0,,,,,,
222,,,,,,Rajec,"ZŠ - Rajec, Lipová",5889.0,2.0,600.0,4200.0
223,,,,,,Žilina,"ZŠ - Žilina, Karpatská",81273.0,29.0,8700.0,60900.0
